UNIPROT	SYMBOL
D6RDL3	CCND3
D6RDN1	RO60
D6RDU9	GATB
D6RDY6	SRP72
D6RE82	RRP1
D6REB1	DAB2
D6REC7	MTREX
D6REK3	CWC27
D6REM1	GOLPH3
D6REM4	CSNK1A1
D6REW6	LRPAP1
D6REX1	TTK
D6RF62	PAICS
D6RF65	UTP15
D6RF93	NFKB1
D6RFH4	CYB5B
D6RFM5	SDHA
D6RG00	UBE2V1
D6RG08	ITGA2
D6RG15	TWF2
D6RG17	COPG1
D6RG18	CCNH
D6RGD2	CDKN2AIP
D6RGE2	ISOC1
D6RGG3	COL12A1
D6RGI7	DDX41
D6RGJ8	WDR55
D6RGK3	TAF9
D6RGK9	CNOT6L
D6RGZ2	THOC3
D6RH10	PDE8B
D6RH20	MRPS27
D6RHC4	ANKHD1
D6RHE0	PDE4D
D6RHF4	UGDH
D6RHI0	CCNB1
D6RHI8	SPAG9
D6RIB3	NAF1
D6RIG7	ATR
D6RIW1	HMGCS1
D6RIW8	WDR70
D6RJ96	HSPA4L
D6RJA0	SETD7
D6RJA6	DDX46
D6RJB9	CLNK
D6RJE3	MAD2L1
E1B6W4	RSRC2
E1P5S2	RNPC2
E2QRB3	PYCR1
E2QRG8	REEP5
E2QRK7	TJAP1
E2QRM3	XPO5
E2QRN4	ZNF326
E2QRP0	NBN
E5RFC6	SNAP91
E5RFD8	PABPC1
E5RFE3	TOP1MT
E5RFE4	ESCO2
E5RFF9	GINS4
E5RFH0	EIF3H
E5RFH3	MRPS28
E5RFI2	MRPL13
E5RFI3	PPP2CB
E5RFI6	HDAC2
E5RFJ3	CCAR2
E5RFK7	UBR5
E5RFK8	LUZP1
E5RFL1	VDAC3
E5RFM9	TACC1
E5RFQ9	STK3
E5RFR7	TPD52
E5RFR9	PPP2R2A
E5RFS1	COPS5
E5RFU4	DPYSL2
E5RFU6	WASHC5
E5RFU8	CEP170
E5RFV2	DECR1
E5RFX4	PBK
E5RFZ0	ASCC3
E5RG13	IMPA1
E5RG17	TATDN1
E5RG29	ASPH
E5RG36	CLU
E5RG48	INTS8
E5RG49	ATP6V1H
E5RG51	HSF4
E5RG70	INTS9
E5RG95	ENO3
E5RGA2	EIF3E
E5RGC8	RMDN1
E5RGG1	DCTN4
E5RGH2	CNOT7
E5RGM3	SKP1
E5RGM7	SLU7
E5RGP3	PLEKHA2
E5RGR1	PINX1
E5RGS4	PFDN1
E5RGV5	TIA1
E5RGW4	NPM1
E5RGY3	EXO1
E5RH00	G3BP1
E5RH09	RARS1
E5RH50	LARP1
E5RH77	RPS14
E5RHA8	RBM22
E5RHC5	ARFGAP1
E5RHF4	MRPL15
E5RHG6	TBCA
E5RHG8	ELOC
E5RHL7	ARFGEF1
E5RHM4	DCAF13
E5RHM7	TTI2
E5RHN1	INTS10
E5RHN9	RAD54B
E5RHT4	POLR3D
E5RHU4	BIN3
E5RHW4	ERLIN2
E5RHZ0	CPNE3
E5RI16	CYRIB
E5RI28	TAF2
E5RI30	HMMR
E5RI99	RPL30
E5RIK9	MTERF3
E5RIM3	PLAA
E5RIN2	TBC1D9B
E5RIN3	ANXA13
E5RIP1	RPS20
E5RIU9	CHMP7
E5RIV7	ERI1
E5RIW1	XPO7
E5RJ37	LYN
E5RJP4	GFPT2
E5RJU9	MTDH
E5RJZ1	COX7A2L
E5RK00	DCTN6
E5RK39	POP1
E5RK64	VAPB
E7EM57	G6PD
E7EM64	COPS6
E7EMB1	SWAP70
E7EMD0	POR
E7EMK3	FLOT2
E7EMM4	ASAH1
E7EMN6	PPP1R2
E7EMS2	NPC2
E7EMU4	DYNC1I2
E7EMY4	L1CAM
E7EMZ0	DMXL1
E7EN12	GEMIN4
E7EN32	MEN1
E7EN44	LONP2
E7EN72	PRPF31
E7EN77	NCAPD2
E7EN95	FLNB
E7ENF1	C12orf43
E7ENN3	SYNE1
E7ENQ8	PGM2
E7ENT5	SLC39A10
E7ENU7	RPL15
E7ENV7	CPNE8
E7EP04	DNAJC10
E7EP81	CORO7
E7EPA6	LAMB1
E7EPD8	TDP1
E7EPI0	IBTK
E7EPJ7	TRIO
E7EPL9	HSD17B4
E7EPP6	CHEK1
E7EPT4	NDUFV2
E7EPW2	MRPS25
E7EQ52	TNKS
E7EQB8	IDH3G
E7EQR4	EZR
E7EQR6	TCP1
E7EQT4	ACIN1
E7EQU1	HMGB3
E7ER68	FAM91A1
E7ER77	ERMP1
E7ERC4	SSB
E7ERK3	CACNA2D1
E7ERK9	EIF2B4
E7ERS3	ZC3H18
E7ERU0	DST
